"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","PK","PKatt","Int","TklW","Fls","Fld","Crs","Off","OG","GA","Saves","SoTA","CS","G_PK","Save_pct","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur","nineties","Gls_90","Ast_90","Sh_90","SoT_90","Int_90","TklW_90","Crs_90","GA_90","low_sample"
"Marcus Thuram",1997,"fr FRA","FW","Inter","it Serie A",27,29,1900,13,6,74,29,2,0,0,0,1,13,43,41,21,15,0,0,0,0,0,13,NA,"Marcus Thuram",NA,"Marcus Thuram","Marcus Thuram","Inter Milan","serie-a","Attack","Centre-Forward","1997-08-06","France",50000000,21.1111111111111,0.62,0.28,3.51,1.37,0.05,0.62,0.99,0,FALSE
"Marcão",1996,"br BRA","DF","Sevilla","es La Liga",29,13,938,1,0,10,2,5,1,0,0,4,4,22,21,1,1,0,0,0,0,0,1,NA,"Marcao",NA,"Marcao","Marcão","Sevilla FC","laliga","Defender","Centre-Back","1996-06-05","Brazil",2500000,10.4222222222222,0.1,0,0.96,0.19,0.38,0.38,0.1,0,FALSE
"Mariano Troilo",2003,"ar ARG","DF","Parma","it Serie A",22,21,1625,1,0,9,2,8,2,0,0,16,18,27,20,1,1,0,0,0,0,0,1,NA,"Mariano Troilo",NA,"Mariano Troilo","Mariano Troilo","Parma Calcio 1913","serie-a","Defender","Centre-Back","2003-06-28","Argentina",10000000,18.0555555555556,0.06,0,0.5,0.11,0.89,1,0.06,0,FALSE
"Marin Ljubicic",2002,"hr CRO","FW","Union Berlin","de Bundesliga",23,2,22,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,NA,"Marin Ljubicic",NA,"Marin Ljubicic","Marin Ljubicic","1.FC Union Berlin","bundesliga","Attack","Centre-Forward","2002-02-28","Croatia",2500000,0.244444444444444,8.18,0,8.18,8.18,0,0,0,0,TRUE
"Marin Pongračić",1997,"hr CRO","DF","Fiorentina","it Serie A",27,35,2918,0,0,8,1,12,0,0,0,36,17,69,21,4,0,0,0,0,0,0,0,NA,"Marin Pongracic",NA,"Marin Pongracic","Marin Pongracic","ACF Fiorentina","serie-a","Defender","Centre-Back","1997-09-11","Croatia",6500000,32.4222222222222,0,0,0.25,0.03,1.11,0.52,0.12,0,FALSE
"Mario Gila",2000,"es ESP","DF","Lazio","it Serie A",24,31,2472,0,0,12,3,4,1,0,0,26,34,19,25,1,0,0,0,0,0,0,0,NA,"Mario Gila",NA,"Mario Gila","Mario Gila","Società Sportiva Lazio S.p.A.","serie-a","Defender","Centre-Back","2000-08-29","Spain",30000000,27.4666666666667,0,0,0.44,0.11,0.95,1.24,0.04,0,FALSE
"Mario Götze",1992,"de GER","MF","Eintracht Frankfurt","de Bundesliga",33,21,886,0,0,5,0,1,0,0,0,4,8,9,12,22,1,0,0,0,0,0,0,NA,"Mario Gotze",NA,"Mario Gotze","Mario Götze","Eintracht Frankfurt","bundesliga","Midfield","Attacking Midfield","1992-06-03","Germany",3000000,9.84444444444444,0,0,0.51,0,0.41,0.81,2.23,0,FALSE
"Mario Hermoso",1995,"es ESP","DF","Roma","it Serie A",30,27,2085,3,2,20,6,9,0,0,0,30,20,40,19,10,0,0,0,0,0,0,3,NA,"Mario Hermoso",NA,"Mario Hermoso","Mario Hermoso","Associazione Sportiva Roma","serie-a","Defender","Centre-Back","1995-06-18","Spain",7000000,23.1666666666667,0.13,0.09,0.86,0.26,1.29,0.86,0.43,0,FALSE
"Mario Martín",2004,"es ESP","MF,FW","Getafe","es La Liga",21,35,2125,2,1,26,6,11,0,0,0,16,32,71,34,13,4,0,0,0,0,0,2,NA,"Mario Martin",NA,"Mario Martin","Mario Martín","Getafe CF","laliga","Midfield","Defensive Midfield","2004-03-05","Spain",10000000,23.6111111111111,0.08,0.04,1.1,0.25,0.68,1.36,0.55,0,FALSE
"Mario Pašalić",1995,"hr CRO","MF","Atalanta","it Serie A",30,33,1936,3,4,24,6,3,0,0,0,13,18,22,6,11,1,0,0,0,0,0,3,NA,"Mario Pasalic",NA,"Mario Pasalic","Mario Pašalić","Atalanta BC","serie-a","Midfield","Central Midfield","1995-02-09","Croatia",6000000,21.5111111111111,0.14,0.19,1.12,0.28,0.6,0.84,0.51,0,FALSE
"Mario Sauer",2004,"sk SVK","MF","Toulouse","fr Ligue 1",21,25,651,1,0,14,3,4,0,0,0,10,6,12,3,7,0,0,0,0,0,0,1,NA,"Mario Sauer",NA,"Mario Sauer","Mario Sauer","FC Toulouse","ligue-1","Midfield","Central Midfield","2004-05-15","Slovakia",1500000,7.23333333333333,0.14,0,1.94,0.41,1.38,0.83,0.97,0,FALSE
"Marius Broholm",2004,"no NOR","MF","Lille","fr Ligue 1",20,11,279,1,1,4,3,0,0,1,1,2,6,4,8,14,0,0,0,0,0,0,0,NA,"Marius Broholm",NA,"Marius Broholm","Marius Broholm","LOSC Lille","ligue-1","Attack","Right Winger","2004-12-26","Norway",5000000,3.1,0.32,0.32,1.29,0.97,0.65,1.94,4.52,0,TRUE
"Marius Bülter",1993,"de GER","FW,MF","Köln","de Bundesliga",32,32,1597,5,4,42,17,3,0,0,0,8,5,17,25,62,6,0,0,0,0,0,5,NA,"Marius Bulter",NA,"Marius Bulter","Marius Bülter","1.FC Köln","bundesliga","Attack","Left Winger","1993-03-29","Germany",1800000,17.7444444444444,0.28,0.23,2.37,0.96,0.45,0.28,3.49,0,FALSE
"Marius Courcoul",2007,"fr FRA","MF","Angers","fr Ligue 1",18,18,374,0,0,2,1,0,0,0,0,3,9,6,3,0,0,0,0,0,0,0,0,NA,"Marius Courcoul",NA,"Marius Courcoul","Marius Courcoul","Angers SCO","ligue-1","Midfield","Defensive Midfield","2007-01-01","France",2500000,4.15555555555556,0,0,0.48,0.24,0.72,2.17,0,0,TRUE
"Marius Louer",2007,"fr FRA","DF","Angers","fr Ligue 1",18,9,543,0,0,0,0,1,0,0,0,2,16,7,3,9,0,1,0,0,0,0,0,NA,"Marius Louer",NA,"Marius Louer","Marius Louër","Angers SCO","ligue-1","Defender","Right-Back","2007-03-11","France",2000000,6.03333333333333,0,0,0,0,0.33,2.65,1.49,0,FALSE
"Marius Marin",1998,"ro ROU","MF","Pisa","it Serie A",26,23,1281,0,0,3,0,7,0,0,0,14,26,36,20,18,0,0,0,0,0,0,0,NA,"Marius Marin",NA,"Marius Marin","Marius Marin","Pisa Sporting Club","serie-a","Midfield","Defensive Midfield","1998-08-30","Romania",2800000,14.2333333333333,0,0,0.21,0,0.98,1.83,1.26,0,FALSE
"Marius Wolf",1995,"de GER","MF","Augsburg","de Bundesliga",30,29,1019,1,1,14,5,4,0,0,0,13,10,10,2,43,11,0,0,0,0,0,1,NA,"Marius Wolf",NA,"Marius Wolf","Marius Wolf","FC Augsburg","bundesliga","Defender","Right-Back","1995-05-27","Germany",2500000,11.3222222222222,0.09,0.09,1.24,0.44,1.15,0.88,3.8,0,FALSE
"Mark Flekken",1993,"nl NED","GK","Leverkusen","de Bundesliga",32,24,2129,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,38,79,110,5,0,71.8,"Mark Flekken",NA,"Mark Flekken","Mark Flekken","Bayer 04 Leverkusen","bundesliga","Goalkeeper","Goalkeeper","1993-06-13","Netherlands",6000000,23.6555555555556,0,0,0,0,0,0,0,1.61,FALSE
"Mark McKenzie",1999,"us USA","DF","Toulouse","fr Ligue 1",26,30,2494,0,2,6,1,7,1,0,0,25,31,35,12,4,1,0,0,0,0,0,0,NA,"Mark McKenzie",NA,"Mark McKenzie","Mark McKenzie","FC Toulouse","ligue-1","Defender","Centre-Back","1999-02-25","United States",7000000,27.7111111111111,0,0.07,0.22,0.04,0.9,1.12,0.14,0,FALSE
"Marko Dmitrović",1992,"rs SRB","GK","Espanyol","es La Liga",33,37,3330,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,54,133,182,10,0,73.1,"Marko Dmitrovic",NA,"Marko Dmitrovic","Marko Dmitrovic","RCD Espanyol Barcelona","laliga","Goalkeeper","Goalkeeper","1992-01-24","Serbia",700000,37,0,0,0,0,0,0.05,0,1.46,FALSE
"Marnon Busch",1994,"de GER","DF,MF","Heidenheim","de Bundesliga",30,29,1915,1,5,12,3,4,0,0,0,34,24,18,8,61,1,0,0,0,0,0,1,NA,"Marnon Busch",NA,"Marnon Busch","Marnon Busch","1. Fußballclub Heidenheim 1846","bundesliga","Defender","Right-Back","1994-12-08","Germany",1000000,21.2777777777778,0.05,0.23,0.56,0.14,1.6,1.13,2.87,0,FALSE
"Maroan Sannadi",2001,"ma MAR","FW","Athletic Club","es La Liga",24,10,288,1,0,8,4,2,0,0,0,1,1,8,5,2,3,0,0,0,0,0,1,NA,"Maroan Sannadi",NA,"Maroan Sannadi","Maroan Sannadi","Athletic Bilbao","laliga","Attack","Centre-Forward","2001-02-01","Morocco",3000000,3.2,0.31,0,2.5,1.25,0.31,0.31,0.62,0,TRUE
"Marquinhos",1994,"br BRA","DF","Paris Saint-Germain","fr Ligue 1",31,14,1052,0,0,3,0,0,0,0,0,7,9,8,2,3,0,1,0,0,0,0,0,NA,"Marquinhos",NA,"Marquinhos","Marquinhos","Paris Saint-Germain","ligue-1","Defender","Centre-Back","1994-05-14","Brazil",28000000,11.6888888888889,0,0,0.26,0,0.6,0.77,0.26,0,FALSE
"Marshall Munetsi",1996,"zw ZIM","MF","Paris FC","fr Ligue 1",29,28,1850,5,2,33,15,2,0,0,0,8,21,31,19,14,5,0,0,0,0,0,5,NA,"Marshall Munetsi",NA,"Marshall Munetsi","Marshall Munetsi","Paris FC","ligue-1","Midfield","Central Midfield","1996-06-22","Zimbabwe",15000000,20.5555555555556,0.24,0.1,1.61,0.73,0.39,1.02,0.68,0,FALSE
"Marten de Roon",1991,"nl NED","MF","Atalanta","it Serie A",34,34,2691,1,2,16,4,8,1,0,0,26,44,37,11,13,0,0,0,0,0,0,1,NA,"Marten de Roon",NA,"Marten de Roon","Marten de Roon","Atalanta BC","serie-a","Midfield","Defensive Midfield","1991-03-29","Netherlands",3200000,29.9,0.03,0.07,0.54,0.13,0.87,1.47,0.43,0,FALSE
"Martial Godo",2003,"ci CIV","MF","Strasbourg","fr Ligue 1",22,28,1584,10,1,41,17,2,0,0,0,15,13,15,32,31,11,0,0,0,0,0,10,NA,"Martial Godo",NA,"Martial Godo","Martial Godo","RC Strasbourg Alsace","ligue-1","Attack","Left Winger","2003-03-14","Cote d'Ivoire",22000000,17.6,0.57,0.06,2.33,0.97,0.85,0.74,1.76,0,FALSE
"Martijn Kaars",1999,"nl NED","FW","St Pauli","de Bundesliga",26,29,1348,3,1,23,10,2,0,1,1,0,5,8,6,15,4,0,0,0,0,0,2,NA,"Martijn Kaars",NA,"Martijn Kaars","Martijn Kaars","FC St. Pauli","bundesliga","Attack","Centre-Forward","1999-03-05","Netherlands",3000000,14.9777777777778,0.2,0.07,1.54,0.67,0,0.33,1,0,FALSE
"Martim Neto",2003,"pt POR","MF","Elche","es La Liga",22,25,1347,2,5,12,4,3,0,0,0,2,12,19,11,33,0,0,0,0,0,0,2,NA,"Martim Neto",NA,"Martim Neto","Martim Neto","Elche CF","laliga","Midfield","Central Midfield","2003-01-14","Portugal",4000000,14.9666666666667,0.13,0.33,0.8,0.27,0.13,0.8,2.2,0,FALSE
"Martin Baturina",2003,"hr CRO","MF,FW","Como","it Serie A",22,29,1569,6,3,28,9,0,0,0,0,5,14,15,44,77,0,0,0,0,0,0,6,NA,"Martin Baturina",NA,"Martin Baturina","Martin Baturina","Como 1907","serie-a","Midfield","Attacking Midfield","2003-02-16","Croatia",30000000,17.4333333333333,0.34,0.17,1.61,0.52,0.29,0.8,4.42,0,FALSE
"Martin Dúbravka",1989,"sk SVK","GK","Burnley","eng Premier League",36,35,3150,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,71,127,192,4,0,66.1,"Martin Dubravka",NA,"Martin Dubravka","Martin Dúbravka","Burnley FC","premier-league","Goalkeeper","Goalkeeper","1989-01-15","Slovakia",500000,35,0,0,0,0,0,0.03,0,2.03,FALSE
"Martin Frese",1998,"dk DEN","MF,DF","Hellas Verona","it Serie A",27,31,2408,2,0,21,11,8,0,0,0,30,54,46,20,74,4,1,0,0,0,0,2,NA,"Martin Frese",NA,"Martin Frese","Martin Frese","Hellas Verona","serie-a","Defender","Left-Back","1998-01-04","Denmark",2500000,26.7555555555556,0.07,0,0.78,0.41,1.12,2.02,2.77,0,FALSE
"Martin Satriano",2001,"uy URU","FW,MF","Getafe","es La Liga",24,29,2295,8,2,51,21,6,0,0,0,14,16,32,44,26,7,0,0,0,0,0,8,NA,"Martin Satriano",NA,"Martin Satriano","Martín Satriano","Getafe CF","laliga","Attack","Centre-Forward","2001-02-20","Uruguay",10000000,25.5,0.31,0.08,2,0.82,0.55,0.63,1.02,0,FALSE
"Martin Terrier",1997,"fr FRA","MF,FW","Leverkusen","de Bundesliga",28,18,675,4,1,17,6,1,0,0,0,1,4,1,13,5,1,0,0,0,0,0,4,NA,"Martin Terrier",NA,"Martin Terrier","Martin Terrier","Bayer 04 Leverkusen","bundesliga","Attack","Left Winger","1997-03-04","France",8000000,7.5,0.53,0.13,2.27,0.8,0.13,0.53,0.67,0,FALSE
"Martin Valjent",1995,"sk SVK","DF","Mallorca","es La Liga",29,37,3308,0,0,17,8,6,0,0,0,24,33,36,12,2,0,0,0,0,0,0,0,NA,"Martin Valjent",NA,"Martin Valjent","Martin Valjent","RCD Mallorca","laliga","Defender","Centre-Back","1995-12-11","Slovakia",3000000,36.7555555555556,0,0,0.46,0.22,0.65,0.9,0.05,0,FALSE
"Martin Vitík",2003,"cz CZE","DF","Bologna","it Serie A",22,19,1325,0,0,8,2,3,0,0,0,8,22,23,4,2,0,0,0,0,0,0,0,NA,"Martin Vitik",NA,"Martin Vitik","Martin Vitík","Bologna Football Club 1909","serie-a","Defender","Centre-Back","2003-01-21","Czech Republic",13000000,14.7222222222222,0,0,0.54,0.14,0.54,1.49,0.14,0,FALSE
"Martin Ødegaard",1998,"no NOR","MF","Arsenal","eng Premier League",26,24,1369,1,6,22,8,0,0,0,0,7,9,9,9,22,2,0,0,0,0,0,1,NA,"Martin Odegaard",NA,"Martin Odegaard","Martin Ødegaard","Arsenal FC","premier-league","Midfield","Attacking Midfield","1998-12-17","Norway",65000000,15.2111111111111,0.07,0.39,1.45,0.53,0.46,0.59,1.45,0,FALSE
"Martín Payero",1998,"ar ARG","MF","Cremonese","it Serie A",26,25,1457,1,0,23,8,8,0,0,0,10,9,37,34,34,2,0,0,0,0,0,1,NA,"Martin Payero",NA,"Martin Payero","Martín Payero","US Cremonese","serie-a","Midfield","Central Midfield","1998-09-11","Argentina",5000000,16.1888888888889,0.06,0,1.42,0.49,0.62,0.56,2.1,0,FALSE
"Martín Zubimendi",1999,"es ESP","MF","Arsenal","eng Premier League",26,38,2992,5,1,27,9,4,0,0,0,39,39,33,15,13,1,0,0,0,0,0,5,NA,"Martin Zubimendi",NA,"Martin Zubimendi","Martín Zubimendi","Arsenal FC","premier-league","Midfield","Defensive Midfield","1999-02-02","Spain",75000000,33.2444444444444,0.15,0.03,0.81,0.27,1.17,1.17,0.39,0,FALSE
"Marvin Friedrich",1995,"de GER","DF","Gladbach","de Bundesliga",29,6,152,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,NA,"Marvin Friedrich",NA,"Marvin Friedrich","Marvin Friedrich","Borussia Mönchengladbach","bundesliga","Defender","Centre-Back","1995-12-13","Germany",1800000,1.68888888888889,0,0,0,0,0.59,1.78,0,0,TRUE
"Marvin Pieringer",1999,"de GER","FW,MF","Heidenheim","de Bundesliga",25,27,1650,4,1,32,8,2,0,1,1,11,14,37,27,20,11,0,0,0,0,0,3,NA,"Marvin Pieringer",NA,"Marvin Pieringer","Marvin Pieringer","1. Fußballclub Heidenheim 1846","bundesliga","Attack","Centre-Forward","1999-10-04","Germany",3000000,18.3333333333333,0.22,0.05,1.75,0.44,0.6,0.76,1.09,0,FALSE
"Marvin Schwäbe",1995,"de GER","GK","Köln","de Bundesliga",30,34,3060,0,0,0,0,2,0,0,0,3,1,1,4,0,0,0,63,92,148,3,0,62.2,"Marvin Schwabe",NA,"Marvin Schwabe","Marvin Schwäbe","1.FC Köln","bundesliga","Goalkeeper","Goalkeeper","1995-04-25","Germany",3000000,34,0,0,0,0,0.09,0.03,0,1.85,FALSE
"Marvin Senaya",2001,"gh GHA","DF,MF","Auxerre","fr Ligue 1",24,25,1780,1,0,15,5,5,0,0,0,34,31,26,32,42,1,0,0,0,0,0,1,NA,"Marvin Senaya",NA,"Marvin Senaya","Marvin Senaya","AJ Auxerre","ligue-1","Defender","Right-Back","2001-01-28","Ghana",3000000,19.7777777777778,0.05,0,0.76,0.25,1.72,1.57,2.12,0,FALSE
"Mason Greenwood",2001,"eng ENG","MF","Marseille","fr Ligue 1",23,32,2462,16,7,116,48,4,0,6,8,4,13,22,34,112,1,0,0,0,0,0,10,NA,"Mason Greenwood",NA,"Mason Greenwood","Mason Greenwood","Olympique Marseille","ligue-1","Attack","Right Winger","2001-10-01","England",55000000,27.3555555555556,0.58,0.26,4.24,1.75,0.15,0.48,4.09,0,FALSE
"Mason Mount",1999,"eng ENG","MF","Manchester Utd","eng Premier League",26,23,1017,3,0,19,5,2,0,0,0,9,13,17,12,22,0,0,0,0,0,0,3,NA,"Mason Mount",NA,"Mason Mount","Mason Mount","Manchester United","premier-league","Midfield","Attacking Midfield","1999-01-10","England",25000000,11.3,0.27,0,1.68,0.44,0.8,1.15,1.95,0,FALSE
"Massimo Pessina",2007,"it ITA","GK","Bologna","it Serie A",17,4,353,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,9,3,0,77.8,"Massimo Pessina",NA,"Massimo Pessina","Massimo Pessina","Bologna Football Club 1909","serie-a","Goalkeeper","Goalkeeper","2007-12-25","Italy",3500000,3.92222222222222,0,0,0,0,0,0,0,0.51,TRUE
"Mateo Joseph",2003,"es ESP","MF,FW","Mallorca","es La Liga",21,29,1699,2,3,33,14,2,0,0,0,13,19,19,31,14,4,0,0,0,0,0,2,NA,"Mateo Joseph",NA,"Mateo Joseph","Mateo Joseph","RCD Mallorca","laliga","Attack","Centre-Forward","2003-10-19","Spain",3500000,18.8777777777778,0.11,0.16,1.75,0.74,0.69,1.01,0.74,0,FALSE
"Mateo Kovačić",1994,"hr CRO","MF","Manchester City","eng Premier League",31,6,130,0,1,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,NA,"Mateo Kovacic",NA,"Mateo Kovacic","Mateo Kovacic","Manchester City","premier-league","Midfield","Central Midfield","1994-05-06","Croatia",10000000,1.44444444444444,0,0.69,1.38,0,1.38,0.69,0,0,TRUE
"Mateo Pellegrino",2001,"ar ARG","FW","Parma","it Serie A",24,37,2984,9,1,73,22,5,0,1,1,4,10,87,71,12,12,0,0,0,0,0,8,NA,"Mateo Pellegrino",NA,"Mateo Pellegrino","Mateo Pellegrino","Parma Calcio 1913","serie-a","Attack","Centre-Forward","2001-10-22","Argentina",15000000,33.1555555555556,0.27,0.03,2.2,0.66,0.12,0.3,0.36,0,FALSE
"Mateu Morey",2000,"es ESP","DF,MF","Mallorca","es La Liga",25,18,704,1,0,4,2,2,0,0,0,6,8,15,10,14,1,0,0,0,0,0,1,NA,"Mateu Morey",NA,"Mateu Morey","Mateu Morey","RCD Mallorca","laliga","Defender","Right-Back","2000-03-02","Spain",1400000,7.82222222222222,0.13,0,0.51,0.26,0.77,1.02,1.79,0,FALSE
"Mateus Fernandes",2004,"pt POR","MF","West Ham United","eng Premier League",21,36,3016,3,4,28,8,7,0,0,0,36,67,49,49,51,0,0,0,0,0,0,3,NA,"Mateus Fernandes",NA,"Mateus Fernandes","Mateus Fernandes","West Ham United","premier-league","Midfield","Central Midfield","2004-07-10","Portugal",50000000,33.5111111111111,0.09,0.12,0.84,0.24,1.07,2,1.52,0,FALSE
"Mateus Lusuardi",2004,"br BRA","DF","Pisa","it Serie A",21,3,198,0,0,4,0,1,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,NA,"Mateus Lusuardi",NA,"Mateus Lusuardi","Mateus Lusuardi","Pisa Sporting Club","serie-a","Defender","Centre-Back","2004-01-08","Brazil",300000,2.2,0,0,1.82,0,0,0.91,0.45,0,TRUE
"Mateus Mane",2007,"pt POR","MF","Wolves","eng Premier League",17,27,1795,3,1,41,17,0,0,0,0,5,13,26,47,94,2,0,0,0,0,0,3,NA,"Mateus Mane",NA,"Mateus Mane","Mateus Mané","Wolverhampton Wanderers","premier-league","Midfield","Attacking Midfield","2007-09-16","Portugal",20000000,19.9444444444444,0.15,0.05,2.06,0.85,0.25,0.65,4.71,0,FALSE
"Matheo Raab",1998,"de GER","GK","Union Berlin","de Bundesliga",26,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,100,"Matheo Raab",NA,"Matheo Raab","Matheo Raab","1.FC Union Berlin","bundesliga","Goalkeeper","Goalkeeper","1998-12-18","Germany",600000,1,0,0,0,0,0,0,0,0,TRUE
"Matheus Cunha",1999,"br BRA","MF,FW","Manchester Utd","eng Premier League",26,33,2494,10,2,90,35,4,0,0,0,21,23,28,54,49,2,0,0,0,0,0,10,NA,"Matheus Cunha",NA,"Matheus Cunha","Matheus Cunha","Manchester United","premier-league","Attack","Centre-Forward","1999-05-27","Brazil",75000000,27.7111111111111,0.36,0.07,3.25,1.26,0.76,0.83,1.77,0,FALSE
"Matheus Nunes",1998,"pt POR","DF","Manchester City","eng Premier League",26,34,2862,1,5,7,2,5,0,0,0,29,41,17,30,67,4,0,0,0,0,0,1,NA,"Matheus Nunes",NA,"Matheus Nunes","Matheus Nunes","Manchester City","premier-league","Defender","Right-Back","1998-08-27","Portugal",50000000,31.8,0.03,0.16,0.22,0.06,0.91,1.29,2.11,0,FALSE
"Mathew Ryan",1992,"au AUS","GK","Levante","es La Liga",33,36,3240,0,0,2,0,4,0,0,0,1,1,0,1,0,0,0,56,124,176,9,0,70.5,"Mathew Ryan",NA,"Mathew Ryan","Mathew Ryan","Levante UD","laliga","Goalkeeper","Goalkeeper","1992-04-08","Australia",1800000,36,0,0,0.06,0,0.03,0.03,0,1.56,FALSE
"Mathias Honsak",1996,"at AUT","MF,FW","Heidenheim","de Bundesliga",28,27,1249,2,1,31,8,1,0,0,0,17,12,11,15,25,9,0,0,0,0,0,2,NA,"Mathias Honsak",NA,"Mathias Honsak","Mathias Honsak","1. Fußballclub Heidenheim 1846","bundesliga","Attack","Left Winger","1996-12-20","Austria",1700000,13.8777777777778,0.14,0.07,2.23,0.58,1.22,0.86,1.8,0,FALSE
"Mathias Jensen",1996,"dk DEN","MF","Brentford","eng Premier League",29,36,2247,3,1,29,8,3,0,0,0,21,23,20,15,124,2,0,0,0,0,0,3,NA,"Mathias Jensen",NA,"Mathias Jensen","Mathias Jensen","Brentford FC","premier-league","Midfield","Central Midfield","1996-01-01","Denmark",10000000,24.9666666666667,0.12,0.04,1.16,0.32,0.84,0.92,4.97,0,FALSE
"Mathias Pereira Lage",1996,"pt POR","MF,FW","St Pauli","de Bundesliga",28,28,2018,2,2,43,15,3,0,0,0,16,23,32,32,58,15,0,0,0,0,0,2,NA,"Mathias Pereira Lage",NA,"Mathias Pereira Lage","Mathias Pereira Lage","FC St. Pauli","bundesliga","Attack","Left Winger","1996-11-30","Portugal",2500000,22.4222222222222,0.09,0.09,1.92,0.67,0.71,1.03,2.59,0,FALSE
"Mathieu Acapandié",2004,"mg MAD","DF,MF","Nantes","fr Ligue 1",20,7,351,0,0,0,0,0,0,0,0,3,2,3,0,11,0,0,0,0,0,0,0,NA,"Mathieu Acapandie",NA,"Mathieu Acapandie","Mathieu Acapandié","FC Nantes","ligue-1","Defender","Right-Back","2004-12-14","Madagascar",700000,3.9,0,0,0,0,0.77,0.51,2.82,0,TRUE
"Mathieu Cafaro",1997,"fr FRA","FW","Paris FC","fr Ligue 1",28,10,152,0,0,7,1,0,0,0,0,0,0,2,4,7,2,0,0,0,0,0,0,NA,"Mathieu Cafaro",NA,"Mathieu Cafaro","Mathieu Cafaro","Paris FC","ligue-1","Attack","Right Winger","1997-03-25","France",1500000,1.68888888888889,0,0,4.14,0.59,0,0,4.14,0,TRUE
"Mathieu Gorgelin",1990,"fr FRA","GK","Lens","fr Ligue 1",34,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,100,"Mathieu Gorgelin",NA,"Mathieu Gorgelin","Mathieu Gorgelin","RC Lens","ligue-1","Goalkeeper","Goalkeeper","1990-08-05","France",200000,1,0,0,0,0,0,0,0,0,TRUE
"Mathis Amougou",2006,"fr FRA","MF","Strasbourg","fr Ligue 1",19,12,409,0,0,3,2,1,0,0,0,2,11,4,4,2,0,0,0,0,0,0,0,NA,"Mathis Amougou",NA,"Mathis Amougou","Mathis Amougou","RC Strasbourg Alsace","ligue-1","Midfield","Central Midfield","2006-01-18","France",9000000,4.54444444444444,0,0,0.66,0.44,0.44,2.42,0.44,0,TRUE
"Mathis Saka",2006,"fr FRA","FW","Toulouse","fr Ligue 1",18,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"Mathis Saka",NA,"Mathis Saka","Mathis Saka","FC Toulouse","ligue-1","Midfield","Attacking Midfield","2006-09-20","France",150000,0.0888888888888889,0,0,0,0,0,0,0,0,TRUE
"Mathys Tel",2005,"fr FRA","MF,FW","Tottenham Hotspur","eng Premier League",20,31,1349,4,1,35,8,1,0,0,0,5,12,19,23,92,3,0,0,0,0,0,4,NA,"Mathys Tel",NA,"Mathys Tel","Mathys Tel","Tottenham Hotspur","premier-league","Attack","Centre-Forward","2005-04-27","France",22000000,14.9888888888889,0.27,0.07,2.34,0.53,0.33,0.8,6.14,0,FALSE
"Mathías Olivera",1997,"uy URU","DF,MF","Napoli","it Serie A",27,25,1370,0,0,8,3,3,0,0,0,16,22,17,10,6,0,0,0,0,0,0,0,NA,"Mathias Olivera",NA,"Mathias Olivera","Mathías Olivera","SSC Napoli","serie-a","Defender","Left-Back","1997-10-31","Uruguay",15000000,15.2222222222222,0,0,0.53,0.2,1.05,1.45,0.39,0,FALSE
"Matias Fernandez-Pardo",2005,"be BEL","FW,MF","Lille","fr Ligue 1",20,29,2370,8,5,68,30,5,0,2,2,8,14,15,40,57,16,0,0,0,0,0,6,NA,"Matias Fernandez-Pardo",NA,"Matias Fernandez-Pardo","Matias Fernandez-Pardo","LOSC Lille","ligue-1","Attack","Centre-Forward","2005-02-03","Belgium",35000000,26.3333333333333,0.3,0.19,2.58,1.14,0.3,0.53,2.16,0,FALSE
"Matias Moreno",2003,"ar ARG","DF","Levante","es La Liga",21,28,2252,0,0,10,0,8,0,0,0,38,25,23,23,3,2,0,0,0,0,0,0,NA,"Matias Moreno",NA,"Matias Moreno","Matías Moreno","Levante UD","laliga","Defender","Centre-Back","2003-09-24","Argentina",6000000,25.0222222222222,0,0,0.4,0,1.52,1,0.12,0,FALSE
"Mats Wieffer",1999,"nl NED","DF","Brighton","eng Premier League",25,26,1903,2,3,18,6,8,0,0,0,24,43,30,22,17,2,0,0,0,0,0,2,NA,"Mats Wieffer",NA,"Mats Wieffer","Mats Wieffer","Brighton & Hove Albion","premier-league","Defender","Right-Back","1999-11-16","Netherlands",25000000,21.1444444444444,0.09,0.14,0.85,0.28,1.14,2.03,0.8,0,FALSE
