"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur"
"Ramón Martínez",2002,"es ESP","DF","Sevilla","es La Liga",22,2,102,0,0,0,0,0,0,"Ramon Martinez",NA,"Ramon Martinez","Ramón Martínez","Sevilla FC","laliga","Defender","Centre-Back",2002-10-22,"Spain",1000000
"Ramón Terrats",2000,"es ESP","MF","Espanyol","es La Liga",24,29,1030,1,2,15,3,0,0,"Ramon Terrats",NA,"Ramon Terrats","Ramón Terrats","RCD Espanyol Barcelona","laliga","Midfield","Central Midfield",2000-10-18,"Spain",3000000
"Randal Kolo Muani",1998,"fr FRA","FW,MF","Tottenham Hotspur","eng Premier League",26,30,1664,1,1,20,4,3,0,"Randal Kolo Muani",NA,"Randal Kolo Muani","Randal Kolo Muani","Tottenham Hotspur","premier-league","Attack","Centre-Forward",1998-12-05,"France",20000000
"Randy Nteka",1997,"ao ANG","FW","Rayo Vallecano","es La Liga",27,13,374,3,0,13,6,3,0,"Randy Nteka",NA,"Randy Nteka","Randy Nteka","Rayo Vallecano","laliga","Midfield","Attacking Midfield",1997-12-06,"Angola",1000000
"Rani Khedira",1994,"tn TUN","MF","Union Berlin","de Bundesliga",31,32,2830,5,1,23,10,7,0,"Rani Khedira",NA,"Rani Khedira","Rani Khedira","1.FC Union Berlin","bundesliga","Midfield","Defensive Midfield",1994-01-27,"Tunisia",2000000
"Ransford Königsdörffer",2001,"gh GHA","FW,MF","Hamburger SV","de Bundesliga",23,33,2329,5,1,65,22,2,0,"Ransford Konigsdorffer",NA,"Ransford Konigsdorffer","Ransford Königsdörffer","Hamburger SV","bundesliga","Attack","Centre-Forward",2001-09-13,"Ghana",5000000
"Raoul Bellanova",2000,"it ITA","MF","Atalanta","it Serie A",25,24,1377,0,1,13,5,2,0,"Raoul Bellanova",NA,"Raoul Bellanova","Raoul Bellanova","Atalanta BC","serie-a","Midfield","Right Midfield",2000-05-17,"Italy",15000000
"Raphael Le Guen",2006,"fr FRA","DF","Brest","fr Ligue 1",18,6,375,0,0,4,1,0,0,"Raphael Le Guen",NA,"Raphael Le Guen","Raphaël Le Guen","Stade Brestois 29","ligue-1","Defender","Centre-Back",2006-09-01,"France",800000
"Raphaël Guerreiro",1993,"pt POR","MF","Bayern Munich","de Bundesliga",31,18,784,5,2,12,5,0,0,"Raphael Guerreiro",NA,"Raphael Guerreiro","Raphaël Guerreiro","Bayern Munich","bundesliga","Defender","Left-Back",1993-12-22,"Portugal",5000000
"Raphinha",1996,"br BRA","MF,FW","Barcelona","es La Liga",28,22,1380,13,3,65,24,5,0,"Raphinha",NA,"Raphinha","Raphinha","FC Barcelona","laliga","Attack","Left Winger",1996-12-14,"Brazil",70000000
"Rasmus Højlund",2003,"dk DEN","FW","Napoli","it Serie A",22,33,2750,12,5,60,25,1,0,"Rasmus Hojlund",NA,"Rasmus Hojlund","Rasmus Højlund","SSC Napoli","serie-a","Attack","Centre-Forward",2003-02-04,"Denmark",60000000
"Rasmus Nicolaisen",1997,"dk DEN","DF","Toulouse","fr Ligue 1",28,33,2654,1,0,15,5,4,0,"Rasmus Nicolaisen",NA,"Rasmus Nicolaisen","Rasmus Nicolaisen","FC Toulouse","ligue-1","Defender","Centre-Back",1997-03-16,"Denmark",5000000
"Rassoul Ndiaye",2001,"sn SEN","MF","Le Havre","fr Ligue 1",23,33,2566,4,4,34,9,2,0,"Rassoul Ndiaye",NA,"Rassoul Ndiaye","Rassoul Ndiaye","Le Havre AC","ligue-1","Midfield","Central Midfield",2001-12-11,"Senegal",8000000
