"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur"
"Jesper Lindstrøm",2000,"dk DEN","MF","Wolfsburg","de Bundesliga",25,13,379,0,0,9,5,2,0,"Jesper Lindstrom",NA,"Jesper Lindstrom","Jesper Lindstrøm","VfL Wolfsburg","bundesliga","Attack","Right Winger",2000-02-29,"Denmark",4000000
"Jessy Deminguet",1998,"fr FRA","MF","Metz","fr Ligue 1",27,31,1995,2,0,17,7,4,0,"Jessy Deminguet",NA,"Jessy Deminguet","Jessy Deminguet","FC Metz","ligue-1","Midfield","Central Midfield",1998-01-07,"France",2000000
"Jesus Rodríguez",2005,"es ESP","MF","Como","it Serie A",19,31,1731,2,9,45,12,3,1,"Jesus Rodriguez",NA,"Jesus Rodriguez","Jesús Rodríguez","Como 1907","serie-a","Attack","Left Winger",2005-11-21,"Spain",30000000
"Jesus Vazquez",2003,"es ESP","DF,MF","Valencia","es La Liga",22,24,974,0,0,8,2,2,0,"Jesus Vazquez",NA,"Jesus Vazquez","Jesús Vázquez","Valencia CF","laliga","Defender","Left-Back",2003-01-02,"Spain",4000000
"Jesús Areso",1999,"es ESP","DF","Athletic Club","es La Liga",26,26,1506,0,1,3,0,3,0,"Jesus Areso",NA,"Jesus Areso","Jesús Areso","Athletic Bilbao","laliga","Defender","Right-Back",1999-07-02,"Spain",5000000
"Jhon Lucumí",1998,"co COL","DF","Bologna","it Serie A",27,29,2287,1,0,8,2,5,0,"Jhon Lucumi",NA,"Jhon Lucumi","Jhon Lucumí","Bologna Football Club 1909","serie-a","Defender","Centre-Back",1998-06-26,"Colombia",22000000
"Jhon Solis",2004,"co COL","MF","Girona","es La Liga",20,12,380,0,0,3,2,0,0,"Jhon Solis",NA,"Jhon Solis","Jhon Solís","Girona FC","laliga","Midfield","Central Midfield",2004-10-03,"Colombia",2500000
"Jim Allevinah",1995,"ga GAB","MF","Angers","fr Ligue 1",30,6,133,1,0,5,1,0,0,"Jim Allevinah",NA,"Jim Allevinah","Jim Allevinah","Angers SCO","ligue-1","Attack","Right Winger",1995-02-27,"Gabon",1000000
"Joachim Andersen",1996,"dk DEN","DF","Fulham","eng Premier League",29,33,2875,0,1,16,4,7,1,"Joachim Andersen",NA,"Joachim Andersen","Joachim Andersen","Fulham FC","premier-league","Defender","Centre-Back",1996-05-31,"Denmark",20000000
"Joakim Mæhle",1997,"dk DEN","MF,DF","Wolfsburg","de Bundesliga",28,16,1222,1,2,14,3,1,0,"Joakim Maehle",NA,"Joakim Maehle","Joakim Maehle","VfL Wolfsburg","bundesliga","Defender","Left-Back",1997-05-20,"Denmark",7000000
"Joan García",2001,"es ESP","GK","Barcelona","es La Liga",24,30,2700,0,0,0,0,1,0,"Joan Garcia",NA,"Joan Garcia","Joan García","FC Barcelona","laliga","Goalkeeper","Goalkeeper",2001-05-04,"Spain",45000000
"Joan Jordán",1994,"es ESP","MF","Sevilla","es La Liga",31,3,25,0,0,0,0,1,1,"Joan Jordan",NA,"Joan Jordan","Joan Jordán","Sevilla FC","laliga","Midfield","Central Midfield",1994-07-06,"Spain",1000000
"Joaquín Panichelli",2002,"ar ARG","FW","Strasbourg","fr Ligue 1",22,27,2193,16,1,58,31,3,0,"Joaquin Panichelli",NA,"Joaquin Panichelli","Joaquín Panichelli","RC Strasbourg Alsace","ligue-1","Attack","Centre-Forward",2002-10-07,"Argentina",35000000
"Jobe Bellingham",2005,"eng ENG","MF","Dortmund","de Bundesliga",19,32,1786,0,1,19,6,2,1,"Jobe Bellingham",NA,"Jobe Bellingham","Jobe Bellingham","Borussia Dortmund","bundesliga","Midfield","Central Midfield",2005-09-23,"England",40000000
"Jocelin Ta Bi",2005,"ci CIV","MF","Sunderland","eng Premier League",20,1,38,0,0,0,0,0,0,"Jocelin Ta Bi",NA,"Jocelin Ta Bi","Jocelin Ta Bi","Sunderland AFC","premier-league","Attack","Right Winger",2005-02-09,"Cote d'Ivoire",2500000
"Joe Gomez",1997,"eng ENG","DF","Liverpool","eng Premier League",28,21,607,0,2,5,1,4,0,"Joe Gomez",NA,"Joe Gomez","Joe Gomez","Liverpool FC","premier-league","Defender","Centre-Back",1997-05-23,"England",13000000
"Joe Knight",2005,"eng ENG","MF","Brighton","eng Premier League",19,1,1,0,0,0,0,0,0,"Joe Knight",NA,"Joe Knight","Joe Knight","Brighton & Hove Albion","premier-league","Midfield","Central Midfield",2005-09-21,"England",100000
"Joe Rodon",1997,"wls WAL","DF","Leeds United","eng Premier League",27,35,2951,2,0,18,7,3,0,"Joe Rodon",NA,"Joe Rodon","Joe Rodon","Leeds United","premier-league","Defender","Centre-Back",1997-10-22,"Wales",18000000
"Joe Scally",2002,"us USA","DF,MF","Gladbach","de Bundesliga",22,32,2608,2,3,16,10,8,0,"Joe Scally",NA,"Joe Scally","Joe Scally","Borussia Mönchengladbach","bundesliga","Defender","Right-Back",2002-12-31,"United States",7000000
"Joe Willock",1999,"eng ENG","MF","Newcastle United","eng Premier League",25,24,983,0,2,17,6,3,0,"Joe Willock",NA,"Joe Willock","Joe Willock","Newcastle United","premier-league","Midfield","Central Midfield",1999-08-20,"England",14000000
"Joe Worrall",1997,"eng ENG","DF","Burnley","eng Premier League",28,11,500,0,0,1,0,0,0,"Joe Worrall",NA,"Joe Worrall","Joe Worrall","Burnley FC","premier-league","Defender","Centre-Back",1997-01-10,"England",2000000
"Joel Asoro",1999,"se SWE","FW","Metz","fr Ligue 1",26,8,227,0,0,4,1,0,0,"Joel Asoro",NA,"Joel Asoro","Joel Asoro","FC Metz","ligue-1","Attack","Right Winger",1999-04-27,"Sweden",900000
"Joel Fujita",2002,"jp JPN","MF","St Pauli","de Bundesliga",23,32,2665,1,3,32,7,6,0,"Joel Fujita","Joel Chima Fujita","Joel Chima Fujita","Joel Chima Fujita","FC St. Pauli","bundesliga","Midfield","Central Midfield",2002-02-16,"Japan",10000000
"Joel Mvuka",2002,"no NOR","MF,DF","Lorient","fr Ligue 1",22,15,560,0,0,8,1,0,0,"Joel Mvuka",NA,"Joel Mvuka","Joel Mvuka","FC Lorient","ligue-1","Midfield","Right Midfield",2002-11-12,"Norway",1500000
"Joel Roca",2005,"es ESP","MF,FW","Girona","es La Liga",20,32,1473,3,1,48,16,4,1,"Joel Roca",NA,"Joel Roca","Joel Roca","Girona FC","laliga","Attack","Left Winger",2005-06-07,"Spain",6000000
"Joelinton",1996,"br BRA","MF","Newcastle United","eng Premier League",28,27,1951,2,1,32,11,10,0,"Joelinton",NA,"Joelinton","Joelinton","Newcastle United","premier-league","Midfield","Central Midfield",1996-08-14,"Brazil",25000000
"Johan Bakayoko",2003,"be BEL","FW,MF","RB Leipzig","de Bundesliga",22,20,777,2,0,24,9,1,0,"Johan Bakayoko",NA,"Johan Bakayoko","Johan Bakayoko","RB Leipzig","bundesliga","Attack","Right Winger",2003-04-20,"Belgium",20000000
"Johan Manzambi",2005,"ch SUI","MF","Freiburg","de Bundesliga",19,27,2077,5,4,51,13,4,2,"Johan Manzambi",NA,"Johan Manzambi","Johan Manzambi","SC Freiburg","bundesliga","Midfield","Central Midfield",2005-10-14,"Switzerland",50000000
"Johan Mojica",1992,"co COL","DF","Mallorca","es La Liga",32,35,2724,0,4,17,2,6,1,"Johan Mojica",NA,"Johan Mojica","Johan Mojica","RCD Mallorca","laliga","Defender","Left-Back",1992-08-21,"Colombia",1500000
"Johan Vásquez",1998,"mx MEX","DF","Genoa","it Serie A",26,36,3215,1,0,24,6,2,0,"Johan Vasquez",NA,"Johan Vasquez","Johan Vásquez","Genoa CFC","serie-a","Defender","Centre-Back",1998-10-22,"Mexico",12000000
"Johann Lepenant",2002,"fr FRA","MF","Nantes","fr Ligue 1",22,28,2263,0,1,22,7,4,0,"Johann Lepenant",NA,"Johann Lepenant","Johann Lepenant","FC Nantes","ligue-1","Midfield","Defensive Midfield",2002-10-22,"France",7000000
"John Donald",2000,"es ESP","DF,MF","Elche","es La Liga",24,21,665,1,0,6,2,3,0,"John Donald",NA,"John Donald","John Donald","Elche CF","laliga","Defender","Centre-Back",2000-09-25,"Spain",1000000
"John McGinn",1994,"sct SCO","MF","Aston Villa","eng Premier League",30,30,2137,5,4,28,12,5,0,"John McGinn",NA,"John McGinn","John McGinn","Aston Villa","premier-league","Midfield","Central Midfield",1994-10-18,"Scotland",13000000
"John Stones",1994,"eng ENG","DF","Manchester City","eng Premier League",31,9,439,0,0,0,0,0,0,"John Stones",NA,"John Stones","John Stones","Manchester City","premier-league","Defender","Centre-Back",1994-05-28,"England",12000000
"Johnny Cardoso",2001,"us USA","MF","Atlético Madrid","es La Liga",23,15,887,0,0,2,0,5,0,"Johnny Cardoso",NA,"Johnny Cardoso","Johnny Cardoso","Atlético de Madrid","laliga","Midfield","Central Midfield",2001-09-20,"United States",20000000
"Jon Aramburu",2002,"ve VEN","DF","Real Sociedad","es La Liga",23,35,2773,1,0,21,5,11,0,"Jon Aramburu",NA,"Jon Aramburu","Jon Aramburu","Real Sociedad","laliga","Defender","Right-Back",2002-07-23,"Venezuela",15000000
"Jon Gorrotxategi",2002,"es ESP","MF","Real Sociedad","es La Liga",23,30,2210,1,3,13,1,7,0,"Jon Gorrotxategi",NA,"Jon Gorrotxategi","Jon Gorrotxategi","Real Sociedad","laliga","Midfield","Defensive Midfield",2002-02-02,"Spain",25000000
"Jon Guridi",1995,"es ESP","MF,FW","Alavés","es La Liga",30,28,1238,0,0,15,4,1,0,"Jon Guridi",NA,"Jon Guridi","Jon Guridi","Deportivo Alavés","laliga","Midfield","Central Midfield",1995-02-28,"Spain",1800000
"Jon Karrikaburu",2002,"es ESP","FW","Real Sociedad","es La Liga",22,7,135,0,0,7,2,0,0,"Jon Karrikaburu",NA,"Jon Karrikaburu","Jon Karrikaburu","Real Sociedad","laliga","Attack","Centre-Forward",2002-09-19,"Spain",1800000
"Jon Martin",2006,"es ESP","DF","Real Sociedad","es La Liga",19,25,2250,2,0,15,5,6,0,"Jon Martin",NA,"Jon Martin","Jon Martín","Real Sociedad","laliga","Defender","Centre-Back",2006-04-23,"Spain",25000000
"Jon Moncayola",1998,"es ESP","MF","Osasuna","es La Liga",27,36,3016,0,4,23,5,9,0,"Jon Moncayola",NA,"Jon Moncayola","Jon Moncayola","CA Osasuna","laliga","Midfield","Central Midfield",1998-05-13,"Spain",7000000
"Jon Pacheco",2001,"es ESP","DF","Alavés","es La Liga",24,22,1735,0,0,4,1,5,1,"Jon Pacheco",NA,"Jon Pacheco","Jon Pacheco","Deportivo Alavés","laliga","Defender","Centre-Back",2001-01-08,"Spain",5000000
"Jonah Kusi-Asare",2007,"se SWE","FW","Fulham","eng Premier League",18,8,60,0,0,0,0,1,0,"Jonah Kusi-Asare",NA,"Jonah Kusi-Asare","Jonah Kusi-Asare","Fulham FC","premier-league","Attack","Centre-Forward",2007-07-04,"Sweden",3000000
"Jonas Föhrenbach",1996,"de GER","DF,MF","Heidenheim","de Bundesliga",29,27,2325,1,1,6,1,3,0,"Jonas Fohrenbach",NA,"Jonas Fohrenbach","Jonas Föhrenbach","1. Fußballclub Heidenheim 1846","bundesliga","Defender","Left-Back",1996-01-26,"Germany",1000000
"Jonas Hofmann",1992,"de GER","MF","Leverkusen","de Bundesliga",33,23,1013,2,2,23,7,3,0,"Jonas Hofmann",NA,"Jonas Hofmann","Jonas Hofmann","Bayer 04 Leverkusen","bundesliga","Midfield","Attacking Midfield",1992-07-14,"Germany",1500000
"Jonas Meffert",1994,"de GER","MF","Hamburger SV","de Bundesliga",30,4,145,0,0,0,0,0,0,"Jonas Meffert",NA,"Jonas Meffert","Jonas Meffert","Hamburger SV","bundesliga","Midfield","Defensive Midfield",1994-09-04,"Germany",1500000
"Jonas Urbig",2003,"de GER","GK","Bayern Munich","de Bundesliga",21,14,1111,0,0,0,0,0,0,"Jonas Urbig",NA,"Jonas Urbig","Jonas Urbig","Bayern Munich","bundesliga","Goalkeeper","Goalkeeper",2003-08-08,"Germany",18000000
"Jonas Wind",1999,"dk DEN","FW","Wolfsburg","de Bundesliga",26,11,481,1,0,9,6,1,0,"Jonas Wind",NA,"Jonas Wind","Jonas Wind","VfL Wolfsburg","bundesliga","Attack","Centre-Forward",1999-02-07,"Denmark",4000000
"Jonathan Burkardt",2000,"de GER","FW","Eintracht Frankfurt","de Bundesliga",25,22,1336,13,1,41,21,1,0,"Jonathan Burkardt",NA,"Jonathan Burkardt","Jonathan Burkardt","Eintracht Frankfurt","bundesliga","Attack","Centre-Forward",2000-07-11,"Germany",30000000
"Jonathan Clauss",1992,"fr FRA","MF,DF","Nice","fr Ligue 1",32,30,2530,1,6,23,6,0,0,"Jonathan Clauss",NA,"Jonathan Clauss","Jonathan Clauss","OGC Nice","ligue-1","Defender","Right-Back",1992-09-25,"France",4000000
"Jonathan David",2000,"ca CAN","FW","Juventus","it Serie A",25,35,1781,6,4,41,16,0,0,"Jonathan David",NA,"Jonathan David","Jonathan David","Juventus FC","serie-a","Attack","Centre-Forward",2000-01-14,"Canada",30000000
"Jonathan Fischer",2001,"dk DEN","GK","Metz","fr Ligue 1",23,27,2354,0,0,0,0,0,0,"Jonathan Fischer",NA,"Jonathan Fischer","Jonathan Fischer","FC Metz","ligue-1","Goalkeeper","Goalkeeper",2001-11-09,"Denmark",2000000
"Jonathan Gradit",1992,"fr FRA","DF","Lens","fr Ligue 1",32,10,807,0,0,2,0,2,1,"Jonathan Gradit",NA,"Jonathan Gradit","Jonathan Gradit","RC Lens","ligue-1","Defender","Centre-Back",1992-11-24,"France",2500000
"Jonathan Ikone",1998,"fr FRA","MF,FW","Paris FC","fr Ligue 1",27,23,1100,3,1,25,6,2,0,"Jonathan Ikone",NA,"Jonathan Ikone","Jonathan Ikoné","Paris FC","ligue-1","Attack","Right Winger",1998-05-02,"France",4000000
"Jonathan Rowe",2003,"eng ENG","MF,FW","Bologna","it Serie A",22,29,1667,3,2,53,17,2,0,"Jonathan Rowe",NA,"Jonathan Rowe","Jonathan Rowe","Olympique Marseille","ligue-1","Attack","Left Winger",2003-04-30,"England",28000000
"Jonathan Tah",1996,"de GER","DF","Bayern Munich","de Bundesliga",29,28,2018,2,1,8,5,7,0,"Jonathan Tah",NA,"Jonathan Tah","Jonathan Tah","Bayern Munich","bundesliga","Defender","Centre-Back",1996-02-11,"Germany",28000000
"Jones El-Abdellaoui",2006,"ma MAR","MF,FW","Celta Vigo","es La Liga",19,22,681,2,0,17,4,0,0,"Jones El-Abdellaoui",NA,"Jones El-Abdellaoui","Jones El-Abdellaoui","Celta de Vigo","laliga","Attack","Right Winger",2006-01-12,"Morocco",8000000
"Jordan Henderson",1990,"eng ENG","MF","Brentford","eng Premier League",35,32,1919,1,3,6,1,6,0,"Jordan Henderson",NA,"Jordan Henderson","Jordan Henderson","Brentford FC","premier-league","Midfield","Defensive Midfield",1990-06-17,"England",1200000
"Jordan Lefort",1993,"mr MTN","DF","Angers","fr Ligue 1",31,34,3060,0,2,11,2,2,0,"Jordan Lefort",NA,"Jordan Lefort","Jordan Lefort","Angers SCO","ligue-1","Defender","Centre-Back",1993-08-09,"Mauritania",1000000
"Jordan Pickford",1994,"eng ENG","GK","Everton","eng Premier League",31,38,3420,0,0,0,0,4,0,"Jordan Pickford",NA,"Jordan Pickford","Jordan Pickford","Everton FC","premier-league","Goalkeeper","Goalkeeper",1994-03-07,"England",13000000
"Jordan Teze",1999,"nl NED","MF,DF","Monaco","fr Ligue 1",25,33,2489,1,2,14,5,8,0,"Jordan Teze",NA,"Jordan Teze","Jordan Teze","AS Monaco","ligue-1","Defender","Right-Back",1999-09-30,"Netherlands",15000000
"Jordan Torunarigha",1997,"de GER","DF","Hamburger SV","de Bundesliga",27,24,1962,0,0,5,1,3,0,"Jordan Torunarigha",NA,"Jordan Torunarigha","Jordan Torunarigha","Hamburger SV","bundesliga","Defender","Centre-Back",1997-08-07,"Nigeria",4000000
"Jordan Zemura",1999,"zw ZIM","MF,DF","Udinese","it Serie A",25,17,1127,0,1,5,1,3,0,"Jordan Zemura",NA,"Jordan Zemura","Jordan Zemura","Udinese Calcio","serie-a","Defender","Left-Back",1999-11-14,"Zimbabwe",5000000
"Jordy Makengo",2001,"fr FRA","DF","Freiburg","de Bundesliga",23,20,1178,0,1,0,0,1,0,"Jordy Makengo",NA,"Jordy Makengo","Jordy Makengo","SC Freiburg","bundesliga","Defender","Left-Back",2001-08-03,"France",6000000
"Jorge Cestero",2006,"es ESP","MF","Real Madrid","es La Liga",19,2,13,0,0,0,0,0,0,"Jorge Cestero",NA,"Jorge Cestero","Jorge Cestero","Real Madrid","laliga","Midfield","Central Midfield",2006-03-24,"Spain",7500000
"Jorge Cuenca",1999,"es ESP","DF","Fulham","eng Premier League",25,15,938,0,0,1,0,6,0,"Jorge Cuenca",NA,"Jorge Cuenca","Jorge Cuenca","Fulham FC","premier-league","Defender","Centre-Back",1999-11-17,"Spain",8000000
"Jorge Herrando",2001,"es ESP","DF","Osasuna","es La Liga",24,28,1600,0,1,3,0,3,0,"Jorge Herrando",NA,"Jorge Herrando","Jorge Herrando","CA Osasuna","laliga","Defender","Centre-Back",2001-02-28,"Spain",3500000
"Jorge de Frutos",1997,"es ESP","FW,MF","Rayo Vallecano","es La Liga",28,36,2463,10,1,62,28,3,0,"Jorge de Frutos",NA,"Jorge de Frutos","Jorge de Frutos","Rayo Vallecano","laliga","Attack","Right Winger",1997-02-20,"Spain",12000000
"Joris Chotard",2001,"fr FRA","MF","Brest","fr Ligue 1",23,33,2773,2,1,25,8,2,0,"Joris Chotard",NA,"Joris Chotard","Joris Chotard","Stade Brestois 29","ligue-1","Midfield","Defensive Midfield",2001-09-24,"France",7000000
"Jorrel Hato",2006,"nl NED","DF","Chelsea","eng Premier League",19,22,1148,0,0,4,0,7,0,"Jorrel Hato",NA,"Jorrel Hato","Jorrel Hato","Chelsea FC","premier-league","Defender","Left-Back",2006-03-07,"Netherlands",40000000
"Josan",1989,"es ESP","MF,DF","Elche","es La Liga",35,19,565,0,3,3,1,2,0,"Josan",NA,"Josan","Josan","Elche CF","laliga","Attack","Right Winger",1989-12-03,"Spain",100000
"Joselu Pérez",2004,"es ESP","DF","Getafe","es La Liga",21,2,22,0,0,1,0,0,0,"Joselu Perez",NA,"Joselu Perez","Joselu Pérez","Getafe CF","laliga","Attack","Centre-Forward",2004-03-12,"Spain",100000
"Josep Martinez",1998,"es ESP","GK","Inter","it Serie A",27,5,450,0,0,0,0,0,0,"Josep Martinez",NA,"Josep Martinez","Josep Martínez","Inter Milan","serie-a","Goalkeeper","Goalkeeper",1998-05-27,"Spain",10000000
"Joseph Aidoo",1995,"gh GHA","DF","Celta Vigo","es La Liga",29,8,639,0,0,2,0,0,0,"Joseph Aidoo",NA,"Joseph Aidoo","Joseph Aidoo","Celta de Vigo","laliga","Defender","Centre-Back",1995-09-29,"Ghana",1000000
"Joseph Liteta",2006,"zm ZAM","MF","Cagliari","it Serie A",19,4,264,0,0,0,0,0,0,"Joseph Liteta",NA,"Joseph Liteta","Joseph Liteta","Cagliari Calcio","serie-a","Midfield","Central Midfield",2006-02-22,"Zambia",3500000
"Joseph Nduquidi",2004,"fr FRA","MF","Metz","fr Ligue 1",20,1,7,0,0,0,0,0,0,"Joseph Nduquidi",NA,"Joseph Nduquidi","Joseph Nduquidi","FC Metz","ligue-1","Midfield","Central Midfield",2004-10-25,"Angola",800000
"Josh Cullen",1996,"ie IRL","MF","Burnley","eng Premier League",29,18,1514,2,2,11,6,2,0,"Josh Cullen",NA,"Josh Cullen","Josh Cullen","Burnley FC","premier-league","Midfield","Central Midfield",1996-04-07,"Ireland",4000000
"Josh Dasilva",1998,"eng ENG","MF","Brentford","eng Premier League",26,2,3,0,0,1,0,0,0,"Josh Dasilva",NA,"Josh Dasilva","Josh Dasilva","Brentford FC","premier-league","Midfield","Central Midfield",1998-10-23,"England",1500000
"Josh Doig",2002,"sct SCO","DF","Sassuolo","it Serie A",23,30,1917,0,0,11,4,5,0,"Josh Doig",NA,"Josh Doig","Josh Doig","US Sassuolo","serie-a","Defender","Left-Back",2002-05-18,"Scotland",4500000
"Josh Laurent",1995,"eng ENG","DF,MF","Burnley","eng Premier League",30,33,1764,1,0,15,4,7,1,"Josh Laurent",NA,"Josh Laurent","Josh Laurent","Burnley FC","premier-league","Midfield","Central Midfield",1995-05-06,"England",1500000
"Josha Vagnoman",2000,"de GER","DF,MF","Stuttgart","de Bundesliga",24,27,1587,1,3,19,11,3,0,"Josha Vagnoman",NA,"Josha Vagnoman","Josha Vagnoman","VfB Stuttgart","bundesliga","Defender","Right-Back",2000-12-11,"Germany",10000000
"Joshua Kimmich",1995,"de GER","MF","Bayern Munich","de Bundesliga",30,29,2280,2,8,28,10,4,0,"Joshua Kimmich",NA,"Joshua Kimmich","Joshua Kimmich","Bayern Munich","bundesliga","Midfield","Defensive Midfield",1995-02-08,"Germany",35000000
"Joshua Zirkzee",2001,"nl NED","FW,MF","Manchester Utd","eng Premier League",24,24,626,2,1,25,9,3,0,"Joshua Zirkzee",NA,"Joshua Zirkzee","Joshua Zirkzee","Manchester United","premier-league","Attack","Centre-Forward",2001-05-22,"Netherlands",20000000
"Josip Brekalo",1998,"hr CRO","MF,FW","Oviedo","es La Liga",27,14,486,0,0,9,3,1,0,"Josip Brekalo",NA,"Josip Brekalo","Josip Brekalo","Real Oviedo","laliga","Attack","Left Winger",1998-06-23,"Croatia",2500000
"Josip Juranović",1995,"hr CRO","MF","Union Berlin","de Bundesliga",29,11,330,1,1,4,1,1,0,"Josip Juranovic",NA,"Josip Juranovic","Josip Juranovic","1.FC Union Berlin","bundesliga","Defender","Right-Back",1995-08-16,"Croatia",2000000
"Josip Stanišić",2000,"hr CRO","DF","Bayern Munich","de Bundesliga",25,26,1857,2,3,7,4,1,0,"Josip Stanisic",NA,"Josip Stanisic","Josip Stanisic","Bayern Munich","bundesliga","Defender","Right-Back",2000-04-02,"Croatia",40000000
"Josué Casimir",2001,"ht HAI","MF,FW","Auxerre","fr Ligue 1",23,31,1522,1,0,22,12,6,1,"Josue Casimir",NA,"Josue Casimir","Josué Casimir","AJ Auxerre","ligue-1","Attack","Right Winger",2001-09-24,"Haiti",3000000
"José Luis Morales",1987,"es ESP","MF","Levante","es La Liga",38,20,363,1,1,11,4,1,0,"Jose Luis Morales",NA,"Jose Luis Morales","José Luis Morales","Levante UD","laliga","Attack","Centre-Forward",1987-07-23,"Spain",200000
"José María Giménez",1995,"uy URU","DF","Atlético Madrid","es La Liga",30,16,1178,0,1,13,3,3,0,"Jose Maria Gimenez",NA,"Jose Maria Gimenez","José María Giménez","Atlético de Madrid","laliga","Defender","Centre-Back",1995-01-20,"Uruguay",9000000
"José Salinas",2000,"es ESP","DF","Espanyol","es La Liga",24,11,257,0,0,1,0,2,0,"Jose Salinas",NA,"Jose Salinas","José Salinas","RCD Espanyol Barcelona","laliga","Defender","Left-Back",2000-09-30,"Spain",2000000
"José Sá",1993,"pt POR","GK","Wolves","eng Premier League",32,23,2070,0,0,0,0,2,0,"Jose Sa",NA,"Jose Sa","José Sá","Wolverhampton Wanderers","premier-league","Goalkeeper","Goalkeeper",1993-01-17,"Portugal",3500000
"Jovan Milošević",2005,"rs SRB","FW","Werder Bremen","de Bundesliga",20,13,488,3,1,12,4,2,0,"Jovan Milosevic",NA,"Jovan Milosevic","Jovan Milosevic","SV Werder Bremen","bundesliga","Attack","Centre-Forward",2005-07-31,"Serbia",7000000
"Jozhua Vertrouwd",2004,"nl NED","DF","Rayo Vallecano","es La Liga",20,9,446,0,0,1,0,0,0,"Jozhua Vertrouwd",NA,"Jozhua Vertrouwd","Jozhua Vertrouwd","Rayo Vallecano","laliga","Defender","Centre-Back",2004-08-21,"Netherlands",2000000
"João Gomes",2001,"br BRA","MF","Wolves","eng Premier League",24,35,2829,1,1,19,7,10,0,"Joao Gomes",NA,"Joao Gomes","João Gomes","Wolverhampton Wanderers","premier-league","Midfield","Central Midfield",2001-02-12,"Brazil",40000000
"João Neves",2004,"pt POR","MF","Paris Saint-Germain","fr Ligue 1",20,21,1287,5,1,27,6,0,0,"Joao Neves",NA,"Joao Neves","João Neves","Paris Saint-Germain","ligue-1","Midfield","Central Midfield",2004-09-27,"Portugal",140000000
"João Palhinha",1995,"pt POR","MF","Tottenham Hotspur","eng Premier League",30,33,2199,5,2,33,9,8,0,"Joao Palhinha",NA,"Joao Palhinha","João Palhinha","Tottenham Hotspur","premier-league","Midfield","Defensive Midfield",1995-07-09,"Portugal",15000000
"João Pedro",2001,"br BRA","FW,MF","Chelsea","eng Premier League",23,35,2661,15,5,73,28,5,0,"Joao Pedro",NA,"Joao Pedro","João Pedro","Chelsea FC","premier-league","Attack","Centre-Forward",2001-09-26,"Brazil",80000000
"Joël Piroe",1999,"sr SUR","FW","Leeds United","eng Premier League",25,16,258,0,0,14,3,0,0,"Joel Piroe",NA,"Joel Piroe","Joël Piroe","Leeds United","premier-league","Attack","Centre-Forward",1999-08-02,"Suriname",10000000
"Joël Schmied",1998,"ch SUI","DF","Köln","de Bundesliga",26,16,1078,0,0,5,0,5,0,"Joel Schmied",NA,"Joel Schmied","Joël Schmied","1.FC Köln","bundesliga","Defender","Centre-Back",1998-09-23,"Switzerland",3000000
"Joël Veltman",1992,"nl NED","DF","Brighton","eng Premier League",33,24,1057,1,0,4,1,5,0,"Joel Veltman",NA,"Joel Veltman","Joël Veltman","Brighton & Hove Albion","premier-league","Defender","Right-Back",1992-01-15,"Netherlands",1500000
"Joško Gvardiol",2002,"hr CRO","DF","Manchester City","eng Premier League",23,18,1372,2,2,17,6,2,0,"Josko Gvardiol",NA,"Josko Gvardiol","Josko Gvardiol","Manchester City","premier-league","Defender","Centre-Back",2002-01-23,"Croatia",70000000
"Juan Arango",2006,"ve VEN","MF","Girona","es La Liga",19,2,18,0,0,0,0,1,0,"Juan Arango",NA,"Juan Arango","Juan Arango","Girona FC","laliga","Attack","Left Winger",2006-06-27,"Venezuela",50000
"Juan Arizala",2005,"co COL","MF","Udinese","it Serie A",19,10,191,0,0,1,1,0,0,"Juan Arizala",NA,"Juan Arizala","Juan Arizala","Udinese Calcio","serie-a","Midfield","Left Midfield",2005-10-10,"Colombia",3500000
"Juan Cuadrado",1988,"co COL","MF","Pisa","it Serie A",37,19,506,1,0,10,2,3,0,"Juan Cuadrado",NA,"Juan Cuadrado","Juan Cuadrado","Pisa Sporting Club","serie-a","Midfield","Right Midfield",1988-05-26,"Colombia",800000
"Juan Foyth",1998,"ar ARG","DF","Villarreal","es La Liga",27,13,934,0,0,2,0,2,0,"Juan Foyth",NA,"Juan Foyth","Juan Foyth","Villarreal CF","laliga","Defender","Centre-Back",1998-01-12,"Argentina",8000000
"Juan Jesus",1991,"br BRA","DF","Napoli","it Serie A",34,24,1675,0,0,3,0,10,1,"Juan Jesus",NA,"Juan Jesus","Juan Jesus","SSC Napoli","serie-a","Defender","Centre-Back",1991-06-10,"Brazil",1500000
"Juan Miranda",2000,"es ESP","DF","Bologna","it Serie A",25,32,2573,1,3,13,5,6,0,"Juan Miranda",NA,"Juan Miranda","Juan Miranda","Bologna Football Club 1909","serie-a","Defender","Left-Back",2000-01-19,"Spain",15000000
"Juan Musso",1994,"ar ARG","GK","Atlético Madrid","es La Liga",31,8,720,0,0,0,0,2,0,"Juan Musso",NA,"Juan Musso","Juan Musso","Atlético de Madrid","laliga","Goalkeeper","Goalkeeper",1994-05-06,"Argentina",3000000
